	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
nFOMC20050503meeting.csv_MR.	1	0	0	0	0	0	0	0	404	0	0	0	4	4	0	0	0	0	38	10	3	0	0	5	1
nFOMC20050503meeting.csv_MR.	0	1	1	0	1	0	0	0	505	0	0	0	0	0	0	0	6	20	0	0	1	0	0	1	0
nFOMC20050503meeting.csv_MR.	16	287	0	0	12	1	0	0	454	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	4
nFOMC20050503meeting.csv_MR.	0	0	0	0	1	3	0	0	487	0	0	0	2	3	0	0	0	0	19	1	19	0	0	0	0
nFOMC20050503meeting.csv_MR.	0	4	1	0	0	0	0	1	435	0	0	0	0	0	0	5	0	11	0	0	0	0	1	56	0
nFOMC20050503meeting.csv_MR.	0	1	0	0	0	0	0	0	5	0	0	0	0	3	0	1	0	0	0	0	0	6	0	0	0
nFOMC20050503meeting.csv_MR.	0	0	20	12	0	0	9	0	223	14	2	9	3	0	0	0	0	1	0	0	20	0	1	7	2
nFOMC20050503meeting.csv_MR.	0	0	0	6	0	0	0	42	288	0	0	0	2	0	0	0	4	1	2	0	7	0	1	3	0
nFOMC20050503meeting.csv_MR.	0	13	5	17	0	0	0	4	621	10	1	7	0	0	0	4	13	26	0	0	6	0	0	0	135
nFOMC20050503meeting.csv_MR.	0	0	2	0	0	0	1	0	496	0	4	1	3	0	3	10	0	0	55	0	4	0	2	6	0
nFOMC20050503meeting.csv_MR.	1	0	1	0	0	0	3	0	205	0	0	1	0	0	0	0	0	2	13	0	6	3	0	5	1
nFOMC20050503meeting.csv_MR.	0	7	15	0	0	9	9	1	1191	0	0	0	0	0	20	28	0	40	0	1	3	110	0	0	0
nFOMC20050503meeting.csv_MS.	0	0	0	1	0	4	22	10	378	0	1	0	0	6	0	4	0	4	1	0	0	0	0	2	0
nFOMC20050503meeting.csv_MS.	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
nFOMC20050503meeting.csv_MS.	0	0	0	2	6	0	0	1	491	1	0	0	0	0	2	185	0	0	0	0	0	7	0	0	0
nFOMC20050503meeting.csv_MS.	5	0	0	1	0	0	0	2	512	0	7	0	0	3	0	0	3	0	56	1	42	3	0	0	0
nFOMC20050503meeting.csv_MS.	0	0	0	0	0	0	2	2	237	0	0	0	0	3	1	0	0	9	1	0	1	0	1	24	0
nFOMC20050503meeting.csv_MS.	0	0	0	5	0	6	0	0	667	0	6	0	0	3	0	0	0	47	4	2	16	0	0	11	10
